Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
2L,2L10X10X1-3/8X1-1/2,2L10X10X1-3/8X1-1/2,174.0,51.2,10.0,,,,,,,,10.0,,,,,,,1.38,,,,,,,3.0,,,1.28,,7.25,,,,,462.0,120.0,66.0,3.0,1180.0,192.0,110.0,4.8,,,,,,,,,,,,,6.12,0.858,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L10X10X1-1/4,2L10X10X1-1/4,160.0,46.8,10.0,,,,,,,,10.0,,,,,,,1.25,,,,,,,2.95,,,1.17,,8.0,,,,,426.0,110.0,60.4,3.02,833.0,138.0,83.3,4.22,,,,,,,,,,,,,5.68,0.832,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L10X10X1-1/4X3/4,2L10X10X1-1/4X3/4,160.0,46.8,10.0,,,,,,,,10.0,,,,,,,1.25,,,,,,,2.95,,,1.17,,8.0,,,,,426.0,110.0,60.4,3.02,943.0,156.0,90.9,4.49,,,,,,,,,,,,,5.89,0.844,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L10X10X1-1/4X1-1/2,2L10X10X1-1/4X1-1/2,160.0,46.8,10.0,,,,,,,,10.0,,,,,,,1.25,,,,,,,2.95,,,1.17,,8.0,,,,,426.0,110.0,60.4,3.02,1070.0,173.0,99.5,4.78,,,,,,,,,,,,,6.11,0.855,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L10X10X1-1/8,2L10X10X1-1/8,145.0,42.6,10.0,,,,,,,,10.0,,,,,,,1.13,,,,,,,2.9,,,1.07,,8.85,,,,,392.0,100.0,55.2,3.03,750.0,124.0,75.0,4.2,,,,,,,,,,,,,5.68,0.831,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L10X10X1-1/8X3/4,2L10X10X1-1/8X3/4,145.0,42.6,10.0,,,,,,,,10.0,,,,,,,1.13,,,,,,,2.9,,,1.07,,8.85,,,,,392.0,100.0,55.2,3.03,849.0,140.0,81.8,4.46,,,,,,,,,,,,,5.88,0.842,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L10X10X1-1/8X1-1/2,2L10X10X1-1/8X1-1/2,145.0,42.6,10.0,,,,,,,,10.0,,,,,,,1.13,,,,,,,2.9,,,1.07,,8.85,,,,,392.0,100.0,55.2,3.03,960.0,155.0,89.3,4.75,,,,,,,,,,,,,6.1,0.853,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L10X10X1,2L10X10X1,129.0,38.0,10.0,,,,,,,,10.0,,,,,,,1.0,,,,,,,2.86,,,0.95,,10.0,,,,,354.0,90.0,49.6,3.05,665.0,109.0,66.5,4.18,,,,,,,,,,,,,5.69,0.828,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L10X10X1X3/4,2L10X10X1X3/4,129.0,38.0,10.0,,,,,,,,10.0,,,,,,,1.0,,,,,,,2.86,,,0.95,,10.0,,,,,354.0,90.0,49.6,3.05,752.0,123.0,72.5,4.45,,,,,,,,,,,,,5.89,0.839,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L10X10X1X1-1/2,2L10X10X1X1-1/2,129.0,38.0,10.0,,,,,,,,10.0,,,,,,,1.0,,,,,,,2.86,,,0.95,,10.0,,,,,354.0,90.0,49.6,3.05,849.0,137.0,79.0,4.73,,,,,,,,,,,,,6.1,0.85,,,,,,,,,,,,,,,,,,,,,,,,
