Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
HSS,HSS203.2X76.2X12.7,HSS203.2X76.2X12.7,47.2,5680,,,203.0,168.0,,,,76.2,40.6,,,,,,,,12.7,11.8,,,,,,,,,,,3.45,,14.2,,24.4,328.0,239.0,65.5,4.87,158.0,128.0,29.2,,,,14300.0,,285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS203.2X76.2X9.5,HSS203.2X76.2X9.5,37.0,4440,,,203.0,177.0,,,,76.2,49.5,,,,,,,,9.53,8.86,,,,,,,,,,,5.6,,19.9,,20.2,264.0,198.0,67.3,4.16,129.0,109.0,30.5,,,,11900.0,,229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS203.2X76.2X7.9,HSS203.2X76.2X7.9,31.5,3770,,,203.0,181.0,,,,76.2,54.1,,,,,,,,7.94,7.39,,,,,,,,,,,7.31,,24.5,,17.6,228.0,174.0,68.3,3.67,112.0,96.2,31.2,,,,10400.0,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS203.2X76.2X6.4,HSS203.2X76.2X6.4,25.7,3080,,,203.0,185.0,,,,76.2,58.4,,,,,,,,6.35,5.92,,,,,,,,,,,9.88,,31.3,,14.8,188.0,146.0,69.3,3.12,93.4,81.8,31.8,,,,8660.0,,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS203.2X76.2X4.8,HSS203.2X76.2X4.8,19.7,2340,,,203.0,190.0,,,,76.2,63.0,,,,,,,,4.76,4.42,,,,,,,,,,,14.2,,43.0,,11.6,145.0,114.0,70.4,2.47,72.6,64.9,32.5,,,,6740.0,,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS203.2X76.2X3.2,HSS203.2X76.2X3.2,13.4,1590,,,203.0,194.0,,,,76.2,67.3,,,,,,,,3.18,2.95,,,,,,,,,,,22.9,,66.0,,8.03,100.0,79.1,71.1,1.75,50.3,45.9,33.3,,,,4700.0,,86.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS203.2X50.8X9.5,HSS203.2X50.8X9.5,33.2,3990,,,203.0,177.0,,,,50.8,24.2,,,,,,,,9.53,8.86,,,,,,,,,,,2.73,,19.9,,15.9,220.0,157.0,63.2,1.55,75.5,61.1,19.7,,,,5040.0,,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS203.2X50.8X7.9,HSS203.2X50.8X7.9,28.4,3390,,,203.0,181.0,,,,50.8,28.7,,,,,,,,7.94,7.39,,,,,,,,,,,3.87,,24.5,,14.0,190.0,138.0,64.3,1.41,66.5,55.4,20.4,,,,4540.0,,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS203.2X50.8X6.4,HSS203.2X50.8X6.4,23.2,2770,,,203.0,185.0,,,,50.8,33.0,,,,,,,,6.35,5.92,,,,,,,,,,,5.58,,31.3,,11.9,159.0,117.0,65.3,1.22,56.2,48.2,21.0,,,,3900.0,,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS203.2X50.8X4.8,HSS203.2X50.8X4.8,17.8,2120,,,203.0,190.0,,,,50.8,37.6,,,,,,,,4.76,4.42,,,,,,,,,,,8.49,,43.0,,9.32,123.0,91.9,66.3,0.995,44.2,39.2,21.7,,,,3110.0,,81.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
